condition,epoch,mean,std,min,max,n,source
Grasp pose prior,91,0.78857421875,0.03423196337174045,0.7353515625,0.82421875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,92,0.79775390625,0.020849094786536147,0.76904296875,0.8193359375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,93,0.79658203125,0.037312164356249206,0.73388671875,0.8330078125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,94,0.663671875,0.07713715676030564,0.57666015625,0.748046875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,95,0.82548828125,0.02632329607862342,0.78271484375,0.85302734375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,96,0.79951171875,0.029504876848981003,0.75439453125,0.82470703125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,97,0.80205078125,0.028923400739739483,0.75927734375,0.83447265625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,98,0.8044921875,0.021990552607692677,0.7841796875,0.83203125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,99,0.812109375,0.02386691578711948,0.7900390625,0.845703125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,100,0.81923828125,0.018968956734097903,0.78662109375,0.83447265625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,101,0.81640625,0.019637771047060746,0.7958984375,0.83837890625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,102,0.81259765625,0.03257864313605503,0.76953125,0.8466796875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,103,0.6703125,0.08142402791610422,0.576171875,0.755859375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
