method,run,seed,tag,final_epoch,final_value,last20_mean,best_value
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_traj_tracking_reward,571,0.5911473631858826,0.4838830798864365,2.686755657196045
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed3_20260612_1042,3,Episode/cube_xy_stability_reward,571,0.4120606780052185,0.42159020304679873,0.9495793581008911
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_action_penalty,585,-0.002209358848631382,-0.0022284228820353747,-0.0017999217379838228
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_approach_reward,585,0.7745941281318665,0.7737659543752671,0.896742582321167
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_close_action_reward,585,0.24882715940475464,0.2481715515255928,0.2931518852710724
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_descend_action_penalty,585,-0.23607966303825378,-0.2380881518125534,-0.022689569741487503
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_enclosure_reward,585,0.46665889024734497,0.46583192348480223,0.5255656838417053
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_gripper_close_reg,585,-1.3400864190771244e-05,-1.822889325922006e-05,-5.333117769623641e-06
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_height_tracking_reward,585,0.06006143242120743,0.06031607687473297,0.07037375122308731
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_lift_action_reward,585,0.41263431310653687,0.39445694237947465,0.4694824516773224
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_lift_reward,585,0.04963308572769165,0.03931722603738308,0.05145592987537384
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_success_bonus,585,0.06237030029296875,0.042560577392578125,0.0684356689453125
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_table_clearance_penalty,585,0.0,0.0,0.0
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_traj_tracking_action_alignment_reward,585,0.0,0.0,0.0
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_traj_tracking_close_action_reward,585,0.5189080238342285,0.7738628730177879,1.349665880203247
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_traj_tracking_gripper_reward,585,0.031022056937217712,0.0240493131801486,0.09263724088668823
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_traj_tracking_lift_action_reward,585,0.34151491522789,0.6202203586697579,1.253640055656433
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_traj_tracking_orientation_reward,585,0.014252562075853348,0.014276088867336511,0.052711859345436096
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_traj_tracking_position_reward,585,0.34230202436447144,0.24422941133379936,0.5154876708984375
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_traj_tracking_reward,585,1.247999668121338,1.676638001203537,2.705730438232422
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed4_20260612_1042,4,Episode/cube_xy_stability_reward,585,0.877801775932312,0.8752878159284592,0.9494645595550537
